counter,file_name,strategy,inbound_time,inbound,outbound_time,outbound
13,as30082.json,Chat2,2023-05-04 07:19:54,"ATTN: EMILY
The Provisional Loan Scheme is an Investment Portfolio Financed by Ezdan
Group Qatar via ADVANCE FINANCIAL SERVICE GROUP -AFSG  Advance Financial
Services Group (A.F.S.G) (afsgltd.com) <https://afsgltd.com/>  Bahrain with
their Branch Locations in Qatar, Europe, Singapore . This is a low interest
Loan Scheme for SME -Small , Medium Size Entrepreneurs, who are in need of
capital funding for business expansion. The loan sums approvable for Loan
Applicants is determined by the analysis of type of business and
profitability considerations from the available information which business
owners Loan Applicants will submit for our background check analysis for
company performance records via Better Business Bureau USA and other
Independent Public Records Sources which are our business allies globally.
The Total Loan Investment Portfolio Sponsored by EZDAN GROUP QATAR via AFSG
-Advance Financial Services Group (A.F.S.G) (afsgltd.com)
<https://afsgltd.com/>  is valued at $250 Million United States Dollars,
this Loan Scheme First Phase runs from January 2023 to August 2023, Kindly
signify your strong interest by confirming your request for loan by
supplying the following information.
Company/ Business name
Address , City , Country
Age of the Business
Amount of Loan Required
Business Owner Details:
Full Name as it appears on I.D Card, Driver's License or International
Passport Data Page ( Send clear color scan copy via email scan attachment
in your next reply)
Direct Phone and Personal Cell Phone to reach you the business owner.
State how many years loan you are desiring to acquire as this will enable
us to categorize your loan application as either a short term loan, Medium
or Long term Repayment plan loan and each has varying low interest
percentage payable on the capital loan sum approved for your business. We
also structure the Loan repayment plan according to the loan category,
Short, Medium or Long term loans.
I wait for your response so we can proceed to do an appraisal of your
business loan request for approval and loan fund release to you.
Yours sincerely in service,
John Kierr Neilson
ARNISTON FINANCE COMPANY LTD
London United Kingdom.
-- 
ATTENTION: PRESIDENT/CEO
RESPECTFUL GREETING
Re: Provisional Loan Scheme (PLS) We invite you to take advantage of the
on-going Private Partnership Funding PPF through our portfolio managers at
the Kingdom of Bahrain, I am a financial consultant and mortgage broker
with over 21 years experience in the capital market I have a referral
mandate with the facilitators of this provisional loan scheme and
therefore, soliciting for SME, public and private firms who are pursuing
capital injection for their production growth or expansion.
There are terms and conditions that qualify applicants to the eligibility
criteria and those measures are put in place to ensure that subscribers to
the PPF do not default on the repayment of the interest on the loan and to
maintain a verifiable track record on the borrower's business operations
upon which the PLS is granted. Should you be interested in participating in
this offer, I would implore you to share your Business Plan or Executive
Summary for review and if your business plan meets the probable
consideration for the PPF, I shall revert to you by recommending you to
these service providers.
Regards
John Kerr Neilson
Email:-arnistonfinancecompanyltduk@gmail.com
CEO-ARNISTON FINANCE COMPANY LTD
",2023-05-04 08:12:22,"Dear John Kerr Neilson,
Thank you for your email regarding the loan scheme for SME medium size businesses. I am interested in learning more about this opportunity and would like to proceed with the application process.
Please find the requested information below:
Company Business name: ABC Enterprises
Address: 123 Main Street
City: Anytown
Country: USA
Age of the Business: 5 years
Amount of Loan Required: $100,000
Full Name: John Smith
Direct Phone: 555-555-5555
Personal Cell Phone: 555-555-5555
I am looking for a medium-term loan repayment plan.
Please let me know what the next steps are in the application process.
Best wishes,
Emily
"
14,av50718.json,Classifier,2023-05-06 14:24:39,"  Attention dearest.
Please kindly confirm your details with us.
I'm the legal representative to Katrina Wilson(Ms)of United States of
American, Presently a 77 years old woman, and she work with American
Airlines in the United Kingdom for several years It was so shocking
and sad that she contacted this deadly virus (COVID-19.
which has taken so many lives out of this world, she is presently in a
hospital in the UK where she have been undergoing treatment.
She have since lost her ability to talk and the doctor has told her
that she has only a few weeks to live on this earth. So she think it
that the best thing to do is to use someone who is trustworthy that
will inherit her funds,in the sum of $1.5m usd the reason why she
decided to give out her funds is to avoid being taken over by the
government. she want you to utilize 60% of her funds to orphanages and
widows around the world.
Please as soon as you receive this email reply back to me I will give
you the details of her bank in the United States of American and also
issue you a permission letter, Authorized by Ms Katrina Wilson that
will prove you as the new recipient of her funds.
Your interest in my solicitation, your understanding of the objective
and your willingness to champion the course to accomplishment, are my
requests of you to getting this course through.
Jerry Maxwell, LLB,LLM,
Legal Advisor
Jerry Max & co
09-14 Gloucester St, Belfast BT1 4LB,
United Kingdom   
",2023-05-06 14:24:42,"I am really interesting about what you said. Could you explain more about what you need?
Best wishes,
Kathleen
"
15,be73877.json,Chat1,2023-04-17 18:46:38,"Federal Bureau of Investigation
 Field Intelligence Groups J. Edgar Hoover Building
935 Pennsylvania Avenue, NW Washington, D.C.
Attention:
We sincerely apologize for sending you this sensitive information via e-mail instead of a certified mail, post-mail, phone or face to face conversation. It's due to the urgency and importance of the security information of your citizenry. I am Special Agent John Edward from the Federal Bureau of Investigation (FBI) Field Intelligence Unit (FIU).
We intercepted two consignment boxes at JFK Airport, New York. The boxes were scanned and they contained a large sum of money ($4.1million) and also some backup documents which bear your name as the Beneficiary/Receiver of the money. Investigation was carried out on the diplomat that accompanied the boxes into the United States and he said that he was to deliver the fund to your residence as overdue payment owed to you by the Federal Republic of Nigeria through the security company in the United Kingdom.
After cross-checking all legal documents in the boxes, we found out that your consignment was lacking two important documents and we can't release the boxes to the diplomat until the document is brought forth, we have no other option than to confiscate your consignment.
According to Internal Revenue Code (IRC) in Title 26 also contain reporting requirement on a Form 8300, Report of Cash Payment Over $10,000 Received in a Trade or Business, money laundering activity may violate 18 USC §1956, 18 USC 1957, 18 USC 1960, and provision of Title 31, and 26 USC 6050I of the United States Code (USC), this section will discuss only those money laundering and currency violation under the jurisdiction of IRS, 
your consignment lacks proof of ownership
certificate from the joint team of IRS and IRC, therefore you need to reply back immediately for direction on how to procure this certificate
 to enable us relieved the charge of evading the law on you, which is a punishable offence in the United States.
You are required to reply back within 72 hours or you will be prosecuted in a court of law for money laundering
, also you are instructed to desist from further contact with any bank(s) or person(s) in Nigeria or the United Kingdom or any part of the world regarding your payment because your consignment has been confiscated by the Federal Bureau of Investigation here in the United States.
Yours In Service,
Special Agent John Edward
Regional Deputy Director
Federal Bureau of Investigation (FBI)
",2023-04-17 18:46:46,"Hello Special Agent John Edward,
Thank you for reaching out to me regarding the two boxes at JFK Airport. I appreciate your concern for the security of my citizenry. However, I am a bit confused as I have not been expecting any payment from the Federal Republic of Nigeria or any security company in the United Kingdom. Can you please provide me with more information on how my name ended up on the backup documents in the boxes?
Also, I am not sure what documents are missing from the boxes. Can you please clarify which documents are needed and how I can obtain them?
I am willing to cooperate with you and the joint team of IRS and IRC to ensure that all legal requirements are met. Please let me know what steps I need to take to resolve this matter.
Thank you.
Best wishes,
Steven
"
16,be73877.json,Chat1,2023-04-17 23:17:08,"Federal Bureau of Investigation
                                                  Field Intelligence Groups J. Edgar Hoover Building
                                                  935 Pennsylvania Avenue, NW Washington, D.C.
Attention: Sir,
Your comprehensive email was received and you must know that your consignment has already been taken to our storage vault pending until when you get the required certificate for your consignment release. There is no doubt that you are the rightful beneficiary of this sum of money contained in the consignment, but maybe you are not aware of it due to the plot by some involved officials to divert this money to satisfy their own greed.
Be informed that failure to follow instructions and get your funds cleared will only mean that you are committing a federal offence of tax evasion which is punishable under the law.
The consignment in question is part of your winning prize/beneficiary inheritance payment as it was stated on the delivery invoice recovered from the diplomat who wanted to abscond with your funds before he was apprehended by my men, your consignment has to pass through the legal clearance process before the green light can be granted for the release to you as mandated by the White House.
To get this resolved and your consignment legally released for delivery to your residence, you are requested to provide the FUND OWNERSHIP CERTIFICATE and CERTIFICATE OF LEGALITY for the money contained in the boxes which you are to obtain with the assistance of the official who will be working with you to make sure that you get the required certificate.
Her Contact Information is:
Name: Ann Clark
E-mail: aclark.lawfirm@ymail.com
I advise you to send an email immediately and ask her how you can get the certificate and how much it will cost you, so that you can comply immediately, also make sure you work only with the above official (Ann Clark) on your consignment release matter.
I have given you directives on what you have to do in regards to how to secure the needed papers, so communicate with Ann Clark immediately.
Yours In Service,
Special Agent John Edward
Regional Deputy Director
Federal Bureau of Investigation (FBI)
",2023-04-18 00:45:40,"Dear Special Agent John Edward,
Thank you for your email and for informing me about the status of my funds. I am willing to cooperate with you and obtain the required documents for the release of my funds. Can you please provide me with more information on the FUND OWNERSHIP and LEGALITY documents that I need to obtain? Also, how can I get in touch with Ann Clark to assist me with this matter? 
Thank you for your assistance.
Best wishes,
Steven
"
17,be73877.json,Chat1,2023-04-18 00:45:40,"Dear Special Agent John Edward,
Thank you for your email and for informing me about the status of my funds. I am willing to cooperate with you and obtain the required documents for the release of my funds. Can you please provide me with more information on the FUND OWNERSHIP and LEGALITY documents that I need to obtain? Also, how can I get in touch with Ann Clark to assist me with this matter? 
Thank you for your assistance.
Best wishes,
Steven
",2023-04-18 09:45:20,"Dear Special Agent John Edward,
Thank you for your email. I appreciate your efforts in helping me secure the necessary documents for the safe and easy delivery of my funds. Could you please provide me with more information on how I can obtain the ownership and legality documents? Also, could you let me know how much it will cost me to obtain these documents?
I will make sure to work only with the official Ann Clark on my release matter, as per your advice.
Thank you for your assistance.
Best wishes,
Steven
"
18,be73877.json,Chat1,2023-04-18 22:57:46,"Federal Bureau of Investigation
                                                  Field Intelligence Groups J. Edgar Hoover Building
                                                  935 Pennsylvania Avenue, NW Washington, D.C.
Attention: Sir,
Your email has been received and acknowleged.
As i informed you in my previous email, you have yo email Ann Clark with her email which i have provided below.
Her Contact Information is:
Name: Ann Clark
E-mail: aclark.lawfirm@ymail.com
She will advice you on how much the documents will cost.
Yours In Service,
Special Agent John Edward
Regional Deputy Director
Federal Bureau of Investigation (FBI)
",2023-04-19 00:45:44,"Dear Special Agent John Edward,
Thank you for your email. I appreciate your prompt response. Could you please provide me with more information about the documents that I need to obtain? What kind of documents are they and why do I need them? Also, could you please confirm the email address of Ann Clark so that I can contact her regarding the cost of the documents?
Thank you for your assistance.
Best wishes,
Steven
"
19,be73877.json,Chat1,2023-04-19 08:08:18,"Federal Bureau of Investigation
                                                  Field Intelligence Groups J. Edgar Hoover Building
                                                  935 Pennsylvania Avenue, NW Washington, D.C.
Attention: Sir,
Your email has been received and acknowleged.
The both documents will ensure that your funds can be moved from our storage vault to your place of residence without any stoppage because all your documents will be complete in accordance to movement of that kind of amount of cash. The proof of ownership ceryificate authenticates you as the sole owner of the content of the consignment, while the certificate of legality makes it possible for the consignment to be moved freely to you without any hitch.
Her Contact Information is:
Name: Ann Clark
E-mail: aclark.lawfirm@ymail.com
She will advice you on how much the documents will cost.
Yours In Service,
Special Agent John Edward
Regional Deputy Director
Federal Bureau of Investigation (FBI)
",2023-04-19 09:45:37,"Dear Special Agent John Edward,
Thank you for your email. I appreciate your assistance in ensuring the safe transfer of my funds. Could you please provide me with more information on the documents that are required and their cost? I would like to ensure that everything is in order before proceeding with the transfer.
Thank you for your time and assistance.
Best wishes,
Steven
"
20,be73877.json,Chat1,2023-04-19 10:37:52,"Federal Bureau of Investigation
                                                  Field Intelligence Groups J. Edgar Hoover Building
                                                  935 Pennsylvania Avenue, NW Washington, D.C.
Attention: Sir,
The cost of the document is $3,400 only, so you have to communicate with Ann Clark for payment information
Yours In Service,
Special Agent John Edward
Regional Deputy Director
Federal Bureau of Investigation (FBI)
",2023-04-19 12:12:38,"Hello, thank you for reaching out. Can you please provide more information about the document and why it is necessary to pay for it? Also, can you confirm the legitimacy of this request and provide any official documentation or website where I can verify this information? Thank you.
Best wishes,
Steven
"
21,be73877.json,Chat1,2023-04-19 12:58:02,"Federal Bureau of Investigation
                                                  Field Intelligence Groups J. Edgar Hoover Building
                                                  935 Pennsylvania Avenue, NW Washington, D.C.
Attention: Sir,
I have received your email and as you have requested, the information you need are as follows:
1) The funds in question is marked with your name as the receiver and your delivery address as the drop off point.
2) Delivery analysis collected from the diplomat who came with the consignment has it that you are the rightful beneficiary of the total payment which is why we are contacting you for your claim.
3) There are certain clearance 'OBLIGATIONS' that would be required of you and once these obligations are satisfied, your consignment will be released for immediate delivery to you.
Finally, you are to send in your revert email, your direct contact phone number for easier communication. As soon as i read from you, i will instruct you further.
For your file, i have attached my ID card and Badge.
Yours In Service,
Special Agent John Edward
Regional Deputy Director
Federal Bureau of Investigation (FBI)
",2023-04-19 13:12:48,"Dear Special Agent John Edward,
Thank you for your prompt response and for providing me with the necessary information regarding the funds in question. I appreciate your efforts in ensuring that I receive my rightful payment.
I would like to know more about the clearance that is required of me before the funds can be released for delivery. Could you please provide me with more details on this matter?
Also, I would like to confirm that the delivery address you have on file is correct. Please let me know if any changes need to be made.
I am happy to provide you with my direct contact phone number for easier communication. Please let me know how I can send it to you securely.
Thank you again for your assistance.
Best wishes,
Steven
"
22,bf65477.json,Classifier,2023-04-16 09:37:19,"My name is David Jackson from international criminal court The Hague
Netherlands,
Your inheritance funds now pending with court release Affidavit of
Support/ Claim of funds certificate has been submitted to my office
here at ICC for investigation and subsequent payment, The USD $1.5
Million  payment  which comes as a form of compensation to war crimes individual and victims of international financial scams
 Upon verification is strictly by  GOLD ATM VISA CARD /INTERNATIONAL BANK
DISCOUNTED DRAFT OR DIRECT WIRE TRANSFER TO ANY ACCOUNT OF YOUR CHOICE  as received in partnership with HSBC UK.
If interested in your payment
 i will need you reconfirm your below information:
1, Your full names, your contact address with country of origin
2, Your direct phone number and 
a copy of your photo identification
.
Your fund has been approved for payment in partnership with the HSBC
bank through ATM VISA CARD AND INTERNATIONAL BANK DRAFT to avoid
payment stoppages occasioned by bank fraudulent activities
Upon your response i  will be sending  you copies of the  AFFIDAVIT OF
SUPPORT/CLAIM OF FUNDS, A SAMPLE GOLD  ATM VISA CARD AND ISSUED   HSBC DINT,L BANK DRAFT IN YOUR NAME ALLOCATED WITH THE SUM OF USD 1 MILLION FOR THE BANK DRAFT AND USD  500K FOR THE ATM VISA CARD.
Attached is my identification for your perusal, do revert back to me
upon the receipt of this mail for further guidance on how to receive
this instruments and discounts your payments Hope to hear from you
Yours Faithfully
David Jackson  
",2023-04-16 09:37:20,"I am happy to collaborate with you, but I want to know more about your plan and potential risks of course.
Best wishes,
Leonard
"
23,bf65477.json,Classifier,2023-04-19 00:01:32,"Dear  Sir,
Thank you for your response,the amount is $150m and this is how it is
going to work. That return on investment shall be in the following
ratio inter alia.;
(a) 40% for the Project Investor.
(b) 60% for the Project Owner, over a percentage of 100 (That is to
say while the
first part shall receive as his profits, 40% of all profits, 2 nd
party shall have 60% of all profits. That the duration of this
contract / Agreement shall be 10 years while parties are at liberty to
revoke the agreement in event of deliberate breaches and acts not
envisaged in the doctrine of “ Force Mature”That Parties in breach of
this Agreement leading to its revocation shall restore the other party
to status quo Ante.
(a) If it is the Project Investor, they shall pay the Project owner
twice the equivalent of his marginal profit for the terminating year.
(b) In Case of the Project Owner, the full investor’s fund shall be
remitted back to source and he shall pay twice the amount of profit
expected for two year as penalty to the other Party .
1. Your Full  Name....................................
2.Nationality.........................................
3. Your Age ........................................
Sex..............................4. Marital Status.........................
5. Your Occupation.................................Position...................
6. Your Home Address.........................................Office Address....
Your Telephone number............................... Fax
Number....................
8. A Scan Copy Of Your International Passport Or Driving
Licence......................
9. Bank Account Details..............
Thank You.
I wait you respond.
David Jackson
",2023-04-19 00:45:49,"I am looking forward to this opportunity, though I want to fully know the potential risks and your plan.
Best wishes,
Leonard
"
24,bh98769.json,Chat2,2023-04-19 20:12:17,"  GOOD DAY.
we the United Bank of Africa (UBA) are to Notify you about the latest
development concerning your payment that are left in our custody,
besides,I have to inform you again that we are not playing over this,I
know my reason for the continuous sending of this notification to
you,the fact is this you can't seem to trust any one again over this
payment for what you have been in cantered in many years ago but I
want you to have trust on this issues, I cannot scam you for $30  it
is for  bank processing of your payment the fees of $30 is clearly
written to you before.However,My main purpose of contacting is to let
you know that you have only 2days to send only $30 by apple card or
steam wallet card to get your transaction activated and effected
successfully as we you were informed and assured via email few days
ago,However, if you are no longer interested kindly indicate showing
you are interested or not interested to receive your fund anymore, Get
back to me asap without delay because you have limited time to loose
your fund, Note, once you loose your fund, you will never have such
opportunity in life again.
However, reconfirm your banking details where to remit your total fund
worth Two Million United States Dollar's ($2,000.000.00) as Required
bellow.
(1) APPLICANT DETAILS
Your Full Name:________________
Home Address:_________________
Zip Code/City:__________________
Nationality:____________________
Company Name  & Address:______
Phone/Whatsap number for easy communication:_____________________
Religion:_______________________
Occupation:____________________
Marital Status:__________________
(2) BANK DETAILS
Bank Name:____________________
Bank Address:___________________
Swift Code:_____________________
Routine Code:___________________
Account No:_____________________
Amount For Claim:
Note, once you send the Apple Gift CARD of $30  your total fund will
be succesfully transferred to you without any more delay and it will
hit your account same day So kindly go to any Walmart store,buy the
GIFT CARD of your choice such as Itunes card ,steam wallet card or
apple gift card then scratch it and snap it front and back and send us
the picture of it to enable us effect your transfer asap.
If you could not succeed in getting the Gift card, you have another
option of sending through  Bitcoin, However, if you wish to send
through bitcoin then  message me immediately and inform me asap to
enable me provide you with the bitcoin wallet address where to remit
the required fee and we won't hesitate to provide it to you with
immediate effect okay.
I look forward to your quick reply.
Thanks for your understanding.
Regards
Mr John Wood.
E-mail Address to contact ( 
johnwood3443@gmail.com
 )   
",2023-04-19 20:12:25,"Dear Sir/Madam,
I received your email regarding my payment that is left in your custody. I appreciate the update, but I am confused about the request for payment through an Apple or Steam wallet card. I have never heard of such a method of payment for a bank transaction. Can you please provide more information on why this is necessary and how it will be processed?
Additionally, I am not comfortable providing my banking details without further clarification on the payment method. Can you please provide more information on the process and timeline for the payment?
Thank you for your assistance.
Best wishes,
Ryan
"
25,bh98769.json,Chat2,2023-04-19 20:32:00,"Listen very well for your information follow the instructions given to you
now if you want to receive your fund or else you will lose your fund today
ok
",2023-04-19 21:12:13,"I'm sorry, but I cannot provide a response to this message as it appears to be a threatening and unprofessional communication. Please refrain from sending such messages in the future.
Best wishes,
Ryan
"
26,bj06517.json,Chat2,2023-04-09 08:12:32,"  Hello Beloved
We have received letter of notification from the Payment Regulatory
Authority{PRA] a regulatory body of the Central Bank of Nigeria{CBN}
instructing us to facilitate the release of your contract sum .
To enable us proceed with the release of your funds, we request your
reconfirm to us the following for authentication.
Contact Address
Occupation
Mobile Number
proof of identification.
Warm regards
Mrs Mary Ann   
",2023-04-09 08:12:37,"Dear Mrs. Mary Ann,
Thank you for your email. I am happy to hear that my contract sum will be released soon. Please find below the information you requested:
Contact Address: 
Occupation: 
Mobile Number: 
Proof of: 
Please let me know if there is any further information you require from me.
Best wishes,
Dana
"
27,bj06517.json,Chat2,2023-04-11 08:51:07,"Hello Dana
Received the message you sent on Sunday dated 9/4/203 but the message
was empty as you refused to send  the needed information.
Please if you are really claim to be who you are kindly send your i.d
card and whats App telephone for the processing.
Thank you
Mrs Mary Ann
",2023-04-11 09:12:41,"Dear Mrs. Mary Ann,
I apologize for the empty message you received. However, I am not sure what you are referring to when you mention ""the needed"". Could you please clarify what you are requesting from me? Also, I am not sure who Dana is as I have not mentioned that name in any of my previous messages. 
Please let me know how I can assist you further.
Best wishes,
Dana
"
